word	count	ipa	variants	route	confidence	reason	layer
לְכָל	3	lˈɛkul		lexicon	HIGH		L
מאכל	3	maxl		rule	LOW	alef-default	G
עבדת	3	avˈɔjdas		rule	LOW	sefaria-pointed	L
וה	3	i		rule	MED		G
הבו	3	hbi		rule	MED		G
עמים	3	ˈɛmim		rule	MED		G
תכון	3	tˈikiən		rule	LOW	sefaria-pointed+suffix	L
נפשנו	3	nfʃni		rule	LOW	pe-default	G
בזה	3	bˈuzə	bˈuzɛ	rule	LOW	sefaria-pointed	L
זרה	3	zˈurə		rule	LOW	pointed-audio-endorsed	L
שאלעכץ	3	ʃˈaləxʦ		rule	LOW	alef-default	G
גוטסקייט	3	ɡˈiʦkaːt		rule	MED		G
מחדש	3	mxˈadajʃ	məxˈadajʃ	rule	LOW	sefaria-pointed	L
תוך	3	tɔx		lexicon	HIGH		L
כבני	3	xbni		rule	MED		G
מרון	3	mrin		rule	MED		G
נארישקייטן	3	nˈariʃkaːtn		rule	LOW	alef-default	G
עקב	3	ɛkb	ɛkp	rule	MED		G
וּמַלְתֶּם	3	imˈaltəm		rule	LOW	lk-fallback	L
וּמָל	3	ˈimul		rule	MED		G
רייניגן	3	rˈajniɡn		rule	MED		G
חמשה	3	xamˈiʃə	xamˈiʃu	rule	LOW	sefaria-pointed	L
בענק	3	bɛnk		rule	MED		G
גע'מל'עט	3	ɡəmlˈɛt		rule	MED		G
עובדי	3	ˈibdi		rule	MED		G
סיבות	3	sˈibɔjs		rule	LOW	model-pointed-guess	L
שבויים	3	ʒbˈɔjim		rule	MED		G
טראגן	3	truɡn		lexicon	MED	audio-vowel	G
פריץ	3	priʦ		lexicon	MED	audio-pe	G
אויסלייזן	3	ˈoʊslajzn		rule	LOW	alef-default	G
טיף	3	tif		rule	LOW	pe-default	G
זמירות	3	zmˈirɔjs	zəmˈirɔjs	rule	LOW	sefaria-pointed	L
לָדַעַת	3	lˈudas		rule	LOW	lk-fallback	L
מִלְבַדּוֹ	3	mˈilvadɔj		rule	MED		G
למענך	3	lmɛnx		rule	MED		G
יגרתי	3	ˈiɡrsi		fallback	LOW	lk-fallback	L
והחמה	3	ˈixmə		fallback	LOW	lk-fallback	L
עקידת	3	akˈajdas		rule	LOW	model-pointed-guess	L
מקדש	3	məkˈadajʃ	mˈikduʃ|məkˈuduʃ|mikˈudajʃ|mˈikdaʃ|mikˈɔjdɛʃ	rule	LOW	audio-homograph	L
יאסעלע	3	jˈasələ		rule	LOW	alef-default	G
שלימות	3	ʃlˈimis		rule	LOW	pointed-audio-endorsed	L
רב'ס	3	ravs		rule	LOW	model-pointed-guess	L
ודעת	3	vədˈaas	vudˈuas	rule	LOW	audio-homograph	L
כנהוג	3	xnhiɡ	xnhik	rule	MED		G
שטריימלעך	3	ʃtrˈajmləx		rule	MED		G
געפראוועט	3	ɡəprˈavət		lexicon	MED	audio-pe	G
אויפנעמען	3	ˈoʊfnəmən		rule	MED	prefix-rescue:gold+אויפ	G
מקיל	3	mkil		rule	MED		G
דעה	3	dɛ		rule	MED		G
ראדזינער	3	rˈadzinər		rule	LOW	alef-default	G
טועם	3	tˈiəm		rule	MED		G
גאפל	3	ɡafl		rule	LOW	alef-default,pe-default	G
מעשים	3	mˈɛʃim		rule	MED		G
אויטא	3	ˈɔjta		rule	LOW	alef-default	G
שוואך	3	ʃvax		rule	LOW	alef-default	G
"ל""א"	3	lˈaməd ˈaləf	lˈamət ˈaləf	rule	LOW	letter-names	A
הארבער	3	hˈarbər		rule	LOW	alef-default	G
מיטגעגאנגען	3	mˈitɡəɡanɡən		rule	MED	prefix-rescue:gold+מיט	G
דרשה	3	drˈuʃə		rule	LOW	pointed-audio-endorsed	L
נתרגש	3	nisrˈaɡajʃ		rule	LOW	model-pointed-guess	L
בקשה	3	bakˈuʃu		rule	LOW	lk-proclitic-pointed:audio-homograph	L
דייטש	3	dajʧ		rule	MED		G
מעיד	3	majd	majt	rule	MED		G
צדקינו	3	ʦdkˈini		rule	MED		G
שמרו	3	ʃmri		rule	MED		G
שבתות	3	ʃˈabəsis		rule	LOW	lk-fallback	L
בפי	3	bfi		rule	LOW	pe-default	G
